Oplot,Pplot,Pweed,Pinsect,Oweed,Oinsect,Family,weight,Dam,Leaves,%Dam,flower,pods,survive,fecundity,,Plot,#surv,insect,weed,#start,%survival
8,20,0,0,1,1,15,4.2987,,,,,,0,,,,,,,,
8,21,1,0,1,1,10,3.3909,0,10,0,0,4,1,4,,,,,,,
8,21,1,0,1,1,4,3.4362,2,6,,,,0,,,,,,,,
8,22,1,1,1,1,21,3.8729,0,2,,,,0,,,,,,,,
8,23,1,1,1,1,26,2.7439,0,4,,,,0,,,,,,,,
8,24,1,1,1,1,27,3.9027,1,11,0.023,0,2,1,2,,,,,,,
9,6,0,0,0,0,20,3.1038,4,11,,,,0,,,,,,,,
9,6,0,0,0,0,10,2.8817,,,,,,0,,,,,,,,
9,7,0,0,0,0,7,2.4447,3,13,0.058,0,1,1,1,,,,,,,
9,7,0,0,0,0,7,3.8275,,,,,,0,,,,,,,,
9,7,0,0,0,0,4,3.748,,,,,,0,,,,,,,,
9,8,1,0,0,0,10,3.2883,12,21,0.143,3,2,1,5,,,,,,,
9,9,0,1,0,0,6,3.2967,1,6,,,,0,,,,,,,,
9,10,1,0,0,0,4,3.1691,3,6,0.125,0,1,1,1,,,,,,,
9,10,1,0,0,0,24,4.4075,12,17,0.176,0,2,1,2,,,,,,,
9,11,0,1,0,0,10,3.8673,9,18,0.125,0,3,1,3,,,,,,,
9,12,0,1,0,0,30,2.9141,0,10,0,5,1,1,6,,,,,,,
9,12,0,1,0,0,28,1.5298,,,,,,0,,,,,,,,
9,17,1,1,0,0,11,4.0231,3,17,0.044,3,1,1,4,,,,,,,
9,18,0,1,0,0,30,3.5286,7,12,0.146,2,0,1,2,,,,,,,
9,18,0,1,0,0,9,3.612,2,8,0.063,2,1,1,3,,,,,,,
9,18,0,1,0,0,6,3.1886,0,5,,,,0,,,,,,,,
9,19,0,1,0,0,18,1.9677,,,,,,0,,,,,,,,
9,20,0,0,0,0,5,4.03,,,,,,0,,,,,,,,
9,23,1,1,0,0,18,3.702,,,,,,0,,,,,,,,
9,24,1,1,0,0,2,1.9903,,,,,,0,,,,,,,,
10,1,1,0,1,0,17,3.9715,2,6,0.083,0,1,1,1,,,,,,,
10,1,1,0,1,0,12,2.3231,,,,,,0,,,,,,,,
10,7,0,0,1,0,6,2.4485,0,3,,,,0,,,,,,,,
10,7,0,0,1,0,29,3.4671,0,8,,,,0,,,,,,,,
10,7,0,0,1,0,29,3.3676,,,,,,0,,,,,,,,
10,10,1,0,1,0,4,2.6824,3,7,,,,0,,,,,,,,
10,11,0,1,1,0,6,2.6662,,,,,,0,,,,,,,,
10,12,0,1,1,0,9,3.3553,,,,,,0,,,,,,,,
10,13,1,1,1,0,3,2.7972,,,,,,0,,,,,,,,
10,14,1,0,1,0,25,3.1838,0,3,,,,0,,,,,,,,
10,19,0,1,1,0,28,3.1399,,,,,,0,,,,,,,,
10,22,1,1,1,0,21,4.4789,,,,,,0,,,,,,,,
10,22,1,1,1,0,6,4.9655,,,,,,0,,,,,,,,
10,23,1,1,1,0,2,2.4927,0,8,,,,0,,,,,,,,
10,24,1,1,1,0,14,4.163,,,,,,0,,,,,,,,
11,1,1,0,0,1,9,2.805,2,10,0.05,0,2,1,2,,,,,,,
11,5,1,1,0,1,30,3.1256,3,12,0.063,4,3,1,7,,,,,,,
11,7,0,0,0,1,2,4.4127,7,13,0.135,0,5,1,5,,,,,,,
11,7,0,0,0,1,7,2.5533,9,53,0.042,9,11,1,20,,,,,,,
11,7,0,0,0,1,4,3.8358,,,,,,0,,,,,,,,
11,7,0,0,0,1,6,3.0619,,,,,,0,,,,,,,,
11,7,0,0,0,1,2,3.955,,,,,,0,,,,,,,,
11,8,1,0,0,1,5,4.0143,2,7,,,,0,,,,,,,,
11,9,0,1,0,1,18,4.5364,0,4,0,0,2,1,2,,,,,,,
11,11,0,1,0,1,7,4.2744,,,,,,0,,,,,,,,
11,12,0,1,0,1,17,2.3674,0,3,,,,0,,,,,,,,
11,13,1,1,0,1,6,3.313,,,,,,0,,,,,,,,
11,13,1,1,0,1,4,2.9132,,,,,,0,,,,,,,,
11,17,1,1,0,1,12,5.4967,,,,,,0,,,,,,,,
11,18,0,1,0,1,18,3.6494,,,,,,0,,,,,,,,
11,22,1,1,0,1,27,4.0848,4,28,0.036,4,0,1,4,,,,,,,
11,22,1,1,0,1,13,4.293,0,5,,,,0,,,,,,,,
11,22,1,1,0,1,17,4.6821,,,,,,0,,,,,,,,
12,1,1,0,1,1,22,5.8392,2,6,0.083,1,0,1,1,,,,,,,
12,4,0,1,1,1,11,4.0016,3,6,0.125,1,0,1,1,,,,,,,
12,5,1,1,1,1,9,4.4075,,,,,,0,,,,,,,,
12,6,0,0,1,1,6,3.619,3,5,0.15,1,0,1,1,,,,,,,
12,7,0,0,1,1,7,4.4073,,,,,,0,,,,,,,,
12,8,1,0,1,1,12,3.3524,5,5,0.25,1,0,1,1,,,,,,,
12,10,1,0,1,1,14,3.4783,,,,,,0,,,,,,,,
12,10,1,0,1,1,29,3.2768,,,,,,0,,,,,,,,
12,11,0,1,1,1,17,3.4265,,,,,,0,,,,,,,,
12,13,1,1,1,1,28,3.0399,,,,,,0,,,,,,,,
12,14,1,0,1,1,23,3.9321,3,3,0.25,0,1,1,1,,,,,,,
12,14,1,0,1,1,23,3.5337,,,,,,0,,,,,,,,
12,18,0,1,1,1,27,3.0188,,,,,,0,,,,,,,,
12,21,1,0,1,1,4,4.3799,,,,,,0,,,,,,,,
